chunk_id,type_code,type_name_en,type_name_ko,role_group,dimension,facet,trait_signal,rag_use,knowledge_text,source_url,source_section,copyright_note
INFJ_CORE,INFJ,Advocate,옹호자,Diplomats,type_core,"core orientation","I;N;F;J","type_overview","INFJ는 의미 탐색, 가치 지향, 사람의 동기 이해, 장기적 방향성과 관련된 유형이다. 표면적 행동보다 그 안의 의미와 영향을 해석하는 맥락에서 설명하기 좋다.","https://www.16personalities.com/infj-personality","Advocate overview","공개 자료를 한국어로 요약·재작성"
INFJ_STRENGTH,INFJ,Advocate,옹호자,Diplomats,type_facet,strengths,"insight;empathy;purpose","strength_context","강점 맥락에서는 깊은 통찰, 공감, 원칙 있는 목표 의식, 사람의 성장 가능성을 보는 능력을 강조할 수 있다.","https://www.16personalities.com/infj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INFJ_CHALLENGE,INFJ,Advocate,옹호자,Diplomats,type_facet,challenges,"idealism;privacy;burnout","caution_context","주의 맥락에서는 이상과 현실 사이에서 부담을 느끼거나, 자기 내면을 쉽게 드러내지 않을 수 있음을 설명한다. 특별한 능력처럼 과장하지 않는다.","https://www.16personalities.com/infj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INFJ_RELATION,INFJ,Advocate,옹호자,Diplomats,type_facet,relationships,"depth;trust;shared_values","relationship_context","관계 맥락에서는 깊이 있는 대화, 신뢰, 공유 가치, 진정성 있는 관계를 선호할 수 있다는 자료로 사용할 수 있다.","https://www.16personalities.com/infj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
INFJ_WORK,INFJ,Advocate,옹호자,Diplomats,type_facet,work_style,"meaningful_work;guidance;long_term_impact","work_context","업무 맥락에서는 의미 있는 영향, 상담·지원, 장기적 개선, 가치 기반 프로젝트에서 동기가 커질 수 있다.","https://www.16personalities.com/infj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
INFP_CORE,INFP,Mediator,중재자,Diplomats,type_core,"core orientation","I;N;F;P","type_overview","INFP는 개인적 가치, 진정성, 상상력, 가능성 중심의 해석과 관련된 유형이다. 효율보다 의미 있는 선택과 사람의 내면을 살피는 맥락에서 설명하기 좋다.","https://www.16personalities.com/infp-personality","Mediator overview","공개 자료를 한국어로 요약·재작성"
INFP_STRENGTH,INFP,Mediator,중재자,Diplomats,type_facet,strengths,"authenticity;compassion;creativity","strength_context","강점 맥락에서는 진정성, 공감, 창의성, 개인의 잠재력과 의미를 발견하는 능력을 강조할 수 있다.","https://www.16personalities.com/infp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INFP_CHALLENGE,INFP,Mediator,중재자,Diplomats,type_facet,challenges,"sensitivity;idealism;avoidance","caution_context","주의 맥락에서는 이상이 높아 실망을 크게 느끼거나 갈등을 피하려는 경향이 나타날 수 있음을 설명한다. 현실성이 없다고 단정하지 않는다.","https://www.16personalities.com/infp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INFP_RELATION,INFP,Mediator,중재자,Diplomats,type_facet,relationships,"authentic_bond;empathy;space","relationship_context","관계 맥락에서는 진정성 있는 유대, 상호 이해, 개인적 공간과 감정적 안전감이 중요할 수 있다.","https://www.16personalities.com/infp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
INFP_WORK,INFP,Mediator,중재자,Diplomats,type_facet,work_style,"creative_expression;values;helping","work_context","업무 맥락에서는 창작, 글쓰기, 상담, 사회적 가치, 개인의 의미가 연결된 일에서 동기가 커질 수 있다.","https://www.16personalities.com/infp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ENFJ_CORE,ENFJ,Protagonist,선도자,Diplomats,type_core,"core orientation","E;N;F;J","type_overview","ENFJ는 사람의 성장 가능성, 집단의 방향성, 공감 기반 리더십과 관련된 유형이다. 사람과 목표를 연결해 긍정적 변화를 만들려는 맥락에서 설명하기 좋다.","https://www.16personalities.com/enfj-personality","Protagonist overview","공개 자료를 한국어로 요약·재작성"
ENFJ_STRENGTH,ENFJ,Protagonist,선도자,Diplomats,type_facet,strengths,"empathy;influence;organization","strength_context","강점 맥락에서는 공감, 설득, 조직화, 타인의 동기를 높이고 공동의 방향을 만드는 능력을 강조할 수 있다.","https://www.16personalities.com/enfj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENFJ_CHALLENGE,ENFJ,Protagonist,선도자,Diplomats,type_facet,challenges,"overcommitment;approval;self_neglect","caution_context","주의 맥락에서는 타인을 돕는 과정에서 스스로를 뒤로 미루거나, 기대에 민감해질 수 있음을 설명한다. 항상 리더라고 단정하지 않는다.","https://www.16personalities.com/enfj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENFJ_RELATION,ENFJ,Protagonist,선도자,Diplomats,type_facet,relationships,"support;shared_growth;warmth","relationship_context","관계 맥락에서는 서로의 성장을 돕고, 따뜻한 소통과 명확한 관심 표현을 중요하게 여길 수 있다.","https://www.16personalities.com/enfj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ENFJ_WORK,ENFJ,Protagonist,선도자,Diplomats,type_facet,work_style,"mentoring;coordination;mission","work_context","업무 맥락에서는 멘토링, 교육, 조직 조율, 미션 중심 프로젝트에서 강점이 나타날 수 있다.","https://www.16personalities.com/enfj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ENFP_CORE,ENFP,Campaigner,활동가,Diplomats,type_core,"core orientation","E;N;F;P","type_overview","ENFP는 가능성 연결, 사람과 아이디어에 대한 열정, 창의적 탐색과 관련된 유형이다. 새로운 경험과 의미 있는 관계를 열어두는 맥락에서 설명하기 좋다.","https://www.16personalities.com/enfp-personality","Campaigner overview","공개 자료를 한국어로 요약·재작성"
ENFP_STRENGTH,ENFP,Campaigner,활동가,Diplomats,type_facet,strengths,"enthusiasm;creativity;connection","strength_context","강점 맥락에서는 활기, 창의성, 사람과 아이디어를 연결하는 능력, 빠른 가능성 포착을 강조할 수 있다.","https://www.16personalities.com/enfp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENFP_CHALLENGE,ENFP,Campaigner,활동가,Diplomats,type_facet,challenges,"scattered_focus;overextension;routine_fatigue","caution_context","주의 맥락에서는 관심사가 넓어 집중이 분산되거나 반복적 루틴에서 피로를 느낄 수 있음을 설명한다. 산만하다고 단정하지 않는다.","https://www.16personalities.com/enfp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENFP_RELATION,ENFP,Campaigner,활동가,Diplomats,type_facet,relationships,"warmth;novelty;emotional_openness","relationship_context","관계 맥락에서는 정서적 개방성, 따뜻함, 새로운 경험 공유, 자유로운 소통이 중요할 수 있다.","https://www.16personalities.com/enfp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ENFP_WORK,ENFP,Campaigner,활동가,Diplomats,type_facet,work_style,"brainstorming;people_work;creative_projects","work_context","업무 맥락에서는 브레인스토밍, 사람 중심 업무, 창의 프로젝트, 변화가 있는 환경에서 동기가 커질 수 있다.","https://www.16personalities.com/enfp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ISTJ_CORE,ISTJ,Logistician,현실주의자,Sentinels,type_core,"core orientation","I;S;T;J","type_overview","ISTJ는 현실 정보, 책임, 절차, 안정적 실행과 관련된 유형이다. 검증된 방식과 명확한 기준을 바탕으로 일을 차분하게 수행하는 맥락에서 설명하기 좋다.","https://www.16personalities.com/istj-personality","Logistician overview","공개 자료를 한국어로 요약·재작성"
ISTJ_STRENGTH,ISTJ,Logistician,현실주의자,Sentinels,type_facet,strengths,"reliability;accuracy;discipline","strength_context","강점 맥락에서는 신뢰성, 정확성, 책임감, 세부 절차를 꾸준히 지키는 능력을 강조할 수 있다.","https://www.16personalities.com/istj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ISTJ_CHALLENGE,ISTJ,Logistician,현실주의자,Sentinels,type_facet,challenges,"rigidity;change_resistance;bluntness","caution_context","주의 맥락에서는 검증된 방식을 선호해 변화 수용이 느릴 수 있음을 설명한다. 고집이 세거나 융통성이 없다고 단정하지 않는다.","https://www.16personalities.com/istj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ISTJ_RELATION,ISTJ,Logistician,현실주의자,Sentinels,type_facet,relationships,"loyalty;consistency;clear_expectations","relationship_context","관계 맥락에서는 꾸준함, 약속 이행, 명확한 기대치, 실질적 도움을 중요하게 여길 수 있다.","https://www.16personalities.com/istj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ISTJ_WORK,ISTJ,Logistician,현실주의자,Sentinels,type_facet,work_style,"procedure;records;responsibility","work_context","업무 맥락에서는 절차 준수, 기록 관리, 품질 관리, 책임이 분명한 역할에서 안정적으로 수행할 수 있다.","https://www.16personalities.com/istj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ISFJ_CORE,ISFJ,Defender,수호자,Sentinels,type_core,"core orientation","I;S;F;J","type_overview","ISFJ는 세심한 배려, 안정적인 관계, 책임 있는 지원과 관련된 유형이다. 익숙한 환경에서 주변 사람의 필요를 조용히 살피는 맥락에서 설명하기 좋다.","https://www.16personalities.com/isfj-personality","Defender overview","공개 자료를 한국어로 요약·재작성"
ISFJ_STRENGTH,ISFJ,Defender,수호자,Sentinels,type_facet,strengths,"care;memory;support","strength_context","강점 맥락에서는 세부 기억, 성실한 지원, 배려, 꾸준한 책임 이행을 강조할 수 있다.","https://www.16personalities.com/isfj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ISFJ_CHALLENGE,ISFJ,Defender,수호자,Sentinels,type_facet,challenges,"self_sacrifice;conflict_avoidance;overload","caution_context","주의 맥락에서는 타인을 돕느라 자신의 필요를 뒤로 미루거나 갈등 표현이 어려울 수 있음을 설명한다. 자기주장이 없다고 단정하지 않는다.","https://www.16personalities.com/isfj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ISFJ_RELATION,ISFJ,Defender,수호자,Sentinels,type_facet,relationships,"devotion;practical_help;stability","relationship_context","관계 맥락에서는 안정감, 실질적 도움, 세심한 관심, 신뢰가 중요한 요소로 작용할 수 있다.","https://www.16personalities.com/isfj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ISFJ_WORK,ISFJ,Defender,수호자,Sentinels,type_facet,work_style,"service;detail;dependability","work_context","업무 맥락에서는 서비스, 돌봄, 행정, 세부 지원, 안정적 운영이 필요한 역할에서 강점이 나타날 수 있다.","https://www.16personalities.com/isfj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ESTJ_CORE,ESTJ,Executive,경영자,Sentinels,type_core,"core orientation","E;S;T;J","type_overview","ESTJ는 명확한 기준, 조직화, 실질적 실행, 결과 중심 관리와 관련된 유형이다. 역할과 절차를 정리해 목표를 완수하는 맥락에서 설명하기 좋다.","https://www.16personalities.com/estj-personality","Executive overview","공개 자료를 한국어로 요약·재작성"
ESTJ_STRENGTH,ESTJ,Executive,경영자,Sentinels,type_facet,strengths,"organization;leadership;practical_execution","strength_context","강점 맥락에서는 조직화, 실행력, 현실적 판단, 기준을 세우고 지키는 능력을 강조할 수 있다.","https://www.16personalities.com/estj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESTJ_CHALLENGE,ESTJ,Executive,경영자,Sentinels,type_facet,challenges,"inflexibility;impatience;control","caution_context","주의 맥락에서는 명확한 기준이 강한 통제로 느껴지거나 다른 관점을 받아들이는 데 시간이 걸릴 수 있음을 설명한다. 권위적이라고 단정하지 않는다.","https://www.16personalities.com/estj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESTJ_RELATION,ESTJ,Executive,경영자,Sentinels,type_facet,relationships,"responsibility;directness;shared_duties","relationship_context","관계 맥락에서는 책임 분담, 직접적인 의사소통, 약속 이행, 현실적 지원을 중요하게 여길 수 있다.","https://www.16personalities.com/estj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ESTJ_WORK,ESTJ,Executive,경영자,Sentinels,type_facet,work_style,"operations;management;rules","work_context","업무 맥락에서는 운영 관리, 일정 통제, 규칙 기반 의사결정, 성과 관리에서 강점이 나타날 수 있다.","https://www.16personalities.com/estj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ESFJ_CORE,ESFJ,Consul,집정관,Sentinels,type_core,"core orientation","E;S;F;J","type_overview","ESFJ는 협력, 관계 안정, 실제적인 도움, 공동체의 질서와 관련된 유형이다. 주변 사람의 필요와 분위기를 살피는 맥락에서 설명하기 좋다.","https://www.16personalities.com/esfj-personality","Consul overview","공개 자료를 한국어로 요약·재작성"
ESFJ_STRENGTH,ESFJ,Consul,집정관,Sentinels,type_facet,strengths,"cooperation;warmth;practical_support","strength_context","강점 맥락에서는 협력, 따뜻한 소통, 세심한 지원, 공동체 유지 능력을 강조할 수 있다.","https://www.16personalities.com/esfj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESFJ_CHALLENGE,ESFJ,Consul,집정관,Sentinels,type_facet,challenges,"approval_sensitivity;conflict_stress;tradition_bias","caution_context","주의 맥락에서는 타인의 평가나 관계 긴장에 민감할 수 있음을 설명한다. 의존적이거나 독립성이 낮다고 단정하지 않는다.","https://www.16personalities.com/esfj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ESFJ_RELATION,ESFJ,Consul,집정관,Sentinels,type_facet,relationships,"belonging;care;shared_routines","relationship_context","관계 맥락에서는 소속감, 돌봄, 일상적 관심 표현, 안정적인 루틴이 중요한 요소로 작용할 수 있다.","https://www.16personalities.com/esfj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ESFJ_WORK,ESFJ,Consul,집정관,Sentinels,type_facet,work_style,"team_support;service;coordination","work_context","업무 맥락에서는 팀 지원, 고객 응대, 조율, 실무 운영처럼 사람과 절차가 함께 필요한 역할에서 강점이 나타날 수 있다.","https://www.16personalities.com/esfj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ISTP_CORE,ISTP,Virtuoso,장인,Explorers,type_core,"core orientation","I;S;T;P","type_overview","ISTP는 현장 관찰, 실용적 문제 해결, 도구와 기술의 작동 방식, 유연한 대응과 관련된 유형이다. 직접 해보며 원리를 파악하는 맥락에서 설명하기 좋다.","https://www.16personalities.com/istp-personality","Virtuoso overview","공개 자료를 한국어로 요약·재작성"
ISTP_STRENGTH,ISTP,Virtuoso,장인,Explorers,type_facet,strengths,"hands_on;troubleshooting;calmness","strength_context","강점 맥락에서는 손으로 직접 해결하는 능력, 침착한 문제 분석, 실용적 판단, 위기 대응을 강조할 수 있다.","https://www.16personalities.com/istp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ISTP_CHALLENGE,ISTP,Virtuoso,장인,Explorers,type_facet,challenges,"risk;emotional_distance;routine_resistance","caution_context","주의 맥락에서는 반복적 규칙에 피로를 느끼거나 감정 설명을 간결히 처리할 수 있음을 설명한다. 무관심하다고 단정하지 않는다.","https://www.16personalities.com/istp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
