edge_id,source_id,relation,target_id,weight,evidence_note,source_url
EDGE_ROLE_EXPLORERS_S,ROLE_EXPLORERS,COMBINES_TRAIT,TRAIT_OBSERVANT,1.0,"탐험가형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
EDGE_ROLE_EXPLORERS_P,ROLE_EXPLORERS,COMBINES_TRAIT,TRAIT_PROSPECTING,1.0,"탐험가형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
EDGE_INTJ_ROLE,TYPE_INTJ,BELONGS_TO_ROLE,ROLE_ANALYSTS,1.0,"INTJ는 Analysts 역할군에 속한다.","https://www.16personalities.com/intj-personality"
EDGE_INTP_ROLE,TYPE_INTP,BELONGS_TO_ROLE,ROLE_ANALYSTS,1.0,"INTP는 Analysts 역할군에 속한다.","https://www.16personalities.com/intp-personality"
EDGE_ENTJ_ROLE,TYPE_ENTJ,BELONGS_TO_ROLE,ROLE_ANALYSTS,1.0,"ENTJ는 Analysts 역할군에 속한다.","https://www.16personalities.com/entj-personality"
EDGE_ENTP_ROLE,TYPE_ENTP,BELONGS_TO_ROLE,ROLE_ANALYSTS,1.0,"ENTP는 Analysts 역할군에 속한다.","https://www.16personalities.com/entp-personality"
EDGE_INFJ_ROLE,TYPE_INFJ,BELONGS_TO_ROLE,ROLE_DIPLOMATS,1.0,"INFJ는 Diplomats 역할군에 속한다.","https://www.16personalities.com/infj-personality"
EDGE_INFP_ROLE,TYPE_INFP,BELONGS_TO_ROLE,ROLE_DIPLOMATS,1.0,"INFP는 Diplomats 역할군에 속한다.","https://www.16personalities.com/infp-personality"
EDGE_ENFJ_ROLE,TYPE_ENFJ,BELONGS_TO_ROLE,ROLE_DIPLOMATS,1.0,"ENFJ는 Diplomats 역할군에 속한다.","https://www.16personalities.com/enfj-personality"
EDGE_ENFP_ROLE,TYPE_ENFP,BELONGS_TO_ROLE,ROLE_DIPLOMATS,1.0,"ENFP는 Diplomats 역할군에 속한다.","https://www.16personalities.com/enfp-personality"
EDGE_ISTJ_ROLE,TYPE_ISTJ,BELONGS_TO_ROLE,ROLE_SENTINELS,1.0,"ISTJ는 Sentinels 역할군에 속한다.","https://www.16personalities.com/istj-personality"
EDGE_ISFJ_ROLE,TYPE_ISFJ,BELONGS_TO_ROLE,ROLE_SENTINELS,1.0,"ISFJ는 Sentinels 역할군에 속한다.","https://www.16personalities.com/isfj-personality"
EDGE_ESTJ_ROLE,TYPE_ESTJ,BELONGS_TO_ROLE,ROLE_SENTINELS,1.0,"ESTJ는 Sentinels 역할군에 속한다.","https://www.16personalities.com/estj-personality"
EDGE_ESFJ_ROLE,TYPE_ESFJ,BELONGS_TO_ROLE,ROLE_SENTINELS,1.0,"ESFJ는 Sentinels 역할군에 속한다.","https://www.16personalities.com/esfj-personality"
EDGE_ISTP_ROLE,TYPE_ISTP,BELONGS_TO_ROLE,ROLE_EXPLORERS,1.0,"ISTP는 Explorers 역할군에 속한다.","https://www.16personalities.com/istp-personality"
EDGE_ISFP_ROLE,TYPE_ISFP,BELONGS_TO_ROLE,ROLE_EXPLORERS,1.0,"ISFP는 Explorers 역할군에 속한다.","https://www.16personalities.com/isfp-personality"
EDGE_ESTP_ROLE,TYPE_ESTP,BELONGS_TO_ROLE,ROLE_EXPLORERS,1.0,"ESTP는 Explorers 역할군에 속한다.","https://www.16personalities.com/estp-personality"
EDGE_ESFP_ROLE,TYPE_ESFP,BELONGS_TO_ROLE,ROLE_EXPLORERS,1.0,"ESFP는 Explorers 역할군에 속한다.","https://www.16personalities.com/esfp-personality"
